
21:34:38.47 | INFO | Найдено сессий: 5!
21:37:10.93 | ERROR | main | Thread 4 | telemarkle | 0, message='Attempt to decode JSON with unexpected mimetype: text/plain; charset=utf-8', url=URL('https://game-domain.blum.codes/api/v1/tasks')
21:37:14.98 | ERROR | main | Thread 3 | TeenaFloops | 0, message='Attempt to decode JSON with unexpected mimetype: text/plain; charset=utf-8', url=URL('https://game-domain.blum.codes/api/v1/tasks')
21:37:15.47 | ERROR | main | Thread 0 | ddcube | 0, message='Attempt to decode JSON with unexpected mimetype: text/plain; charset=utf-8', url=URL('https://game-domain.blum.codes/api/v1/tasks')
21:37:16.66 | ERROR | main | Thread 2 | marcuspyc | 0, message='Attempt to decode JSON with unexpected mimetype: text/plain; charset=utf-8', url=URL('https://game-domain.blum.codes/api/v1/tasks')
21:37:30.63 | ERROR | main | Thread 4 | telemarkle | 0, message='Attempt to decode JSON with unexpected mimetype: text/plain; charset=utf-8', url=URL('https://game-domain.blum.codes/api/v1/tasks')
21:37:31.97 | ERROR | main | Thread 1 | floortrees | 0, message='Attempt to decode JSON with unexpected mimetype: text/plain; charset=utf-8', url=URL('https://game-domain.blum.codes/api/v1/tasks')
21:37:34.84 | ERROR | main | Thread 2 | marcuspyc | 0, message='Attempt to decode JSON with unexpected mimetype: text/plain; charset=utf-8', url=URL('https://game-domain.blum.codes/api/v1/tasks')
21:37:38.01 | ERROR | main | Thread 3 | TeenaFloops | 0, message='Attempt to decode JSON with unexpected mimetype: text/plain; charset=utf-8', url=URL('https://game-domain.blum.codes/api/v1/tasks')
21:37:39.38 | ERROR | main | Thread 0 | ddcube | 0, message='Attempt to decode JSON with unexpected mimetype: text/plain; charset=utf-8', url=URL('https://game-domain.blum.codes/api/v1/tasks')
21:37:54.39 | ERROR | main | Thread 4 | telemarkle | 0, message='Attempt to decode JSON with unexpected mimetype: text/plain; charset=utf-8', url=URL('https://game-domain.blum.codes/api/v1/tasks')
21:37:57.09 | ERROR | main | Thread 1 | floortrees | 0, message='Attempt to decode JSON with unexpected mimetype: text/plain; charset=utf-8', url=URL('https://game-domain.blum.codes/api/v1/tasks')
21:37:58.00 | ERROR | main | Thread 2 | marcuspyc | 0, message='Attempt to decode JSON with unexpected mimetype: text/plain; charset=utf-8', url=URL('https://game-domain.blum.codes/api/v1/tasks')
21:38:06.25 | ERROR | main | Thread 3 | TeenaFloops | 0, message='Attempt to decode JSON with unexpected mimetype: text/plain; charset=utf-8', url=URL('https://game-domain.blum.codes/api/v1/tasks')
21:38:06.51 | ERROR | main | Thread 0 | ddcube | 0, message='Attempt to decode JSON with unexpected mimetype: text/plain; charset=utf-8', url=URL('https://game-domain.blum.codes/api/v1/tasks')
21:38:12.62 | ERROR | main | Thread 4 | telemarkle | 0, message='Attempt to decode JSON with unexpected mimetype: text/plain; charset=utf-8', url=URL('https://game-domain.blum.codes/api/v1/tasks')
